text,label
"def check_rate_limit(client_ip: str) -> bool:
    """"""Check if client has exceeded rate limit.""""""
    current_time = time.time()
    # Clean old entries
    rate_limit_storage[client_ip] = [
        timestamp for timestamp in rate_limit_storage[client_ip]
        if current_time - timestamp < 60
    ]
    # Check rate limit
    if len(rate_limit_storage[client_ip]) >= MAX_REQUESTS_PER_MINUTE:
        return False
    # Add current request
    rate_limit_storage[client_ip].append(current_time)
    return True",human
"def validate_filename(filename: str) -> bool:
    """"""
    Validate filename to prevent path traversal attacks.
    Returns True if filename is safe, False otherwise.
    """"""
    # Decode URL encoding multiple times to catch encoded traversal attempts
    decoded = filename
    for _ in range(3):  # Decode up to 3 times to catch nested encodings
        try:
            decoded = urllib.parse.unquote(decoded, errors='strict')
        except:
            return False  # Invalid encoding

    # Check for path traversal patterns
    dangerous_patterns = [
        '..',  # Parent directory
        '..\\',  # Windows parent directory
        '../',  # Unix parent directory
        '\\',  # Backslash (Windows path separator)
        '/',  # Forward slash (Unix path separator)
        '\x00',  # Null byte
        '\n', '\r',  # Newlines
        '~',  # Home directory
        ':',  # Drive letter or stream (Windows)
        '|', '<', '>',  # Shell redirection
        '*', '?',  # Wildcards
        '$',  # Variable expansion
        ';', '&',  # Command separators
    ]

    for pattern in dangerous_patterns:
        if pattern in decoded:
            return False

    # Check for absolute paths
    if decoded.startswith('/') or decoded.startswith('\\'):
        return False

    # Check for Windows drive letters
    if len(decoded) >= 2 and decoded[1] == ':':
        return False

    # Only allow alphanumeric, dash, underscore, and .json extension
    if not re.match(r'^[a-zA-Z0-9_\-]+\.json$', decoded):
        return False

    # Additional check: filename should end with .json
    if not decoded.endswith('.json'):
        return False

    return True",human
"class WorkflowSummary(BaseModel):
    id: Optional[int] = None
    filename: str
    name: str
    active: bool
    description: str = """"
    trigger_type: str = ""Manual""
    complexity: str = ""low""
    node_count: int = 0
    integrations: List[str] = []
    tags: List[str] = []
    created_at: Optional[str] = None
    updated_at: Optional[str] = None
    
    class Config:
        # Allow conversion of int to bool for active field
        validate_assignment = True
        
    @field_validator('active', mode='before')
    @classmethod
    def convert_active(cls, v):
        if isinstance(v, int):
            return bool(v)
        return v",human
"class SearchResponse(BaseModel):
    workflows: List[WorkflowSummary]
    total: int
    page: int
    per_page: int
    pages: int
    query: str
    filters: Dict[str, Any]",human
"class StatsResponse(BaseModel):
    total: int
    active: int
    inactive: int
    triggers: Dict[str, int]
    complexity: Dict[str, int]
    total_nodes: int
    unique_integrations: int
    last_indexed: str",human
"def generate_mermaid_diagram(nodes: List[Dict], connections: Dict) -> str:
    """"""Generate Mermaid.js flowchart code from workflow nodes and connections.""""""
    if not nodes:
        return ""graph TD\n  EmptyWorkflow[No nodes found in workflow]""
    
    # Create mapping for node names to ensure valid mermaid IDs
    mermaid_ids = {}
    for i, node in enumerate(nodes):
        node_id = f""node{i}""
        node_name = node.get('name', f'Node {i}')
        mermaid_ids[node_name] = node_id
    
    # Start building the mermaid diagram
    mermaid_code = [""graph TD""]
    
    # Add nodes with styling
    for node in nodes:
        node_name = node.get('name', 'Unnamed')
        node_id = mermaid_ids[node_name]
        node_type = node.get('type', '').replace('n8n-nodes-base.', '')
        
        # Determine node style based on type
        style = """"
        if any(x in node_type.lower() for x in ['trigger', 'webhook', 'cron']):
            style = ""fill:#b3e0ff,stroke:#0066cc""  # Blue for triggers
        elif any(x in node_type.lower() for x in ['if', 'switch']):
            style = ""fill:#ffffb3,stroke:#e6e600""  # Yellow for conditional nodes
        elif any(x in node_type.lower() for x in ['function', 'code']):
            style = ""fill:#d9b3ff,stroke:#6600cc""  # Purple for code nodes
        elif 'error' in node_type.lower():
            style = ""fill:#ffb3b3,stroke:#cc0000""  # Red for error handlers
        else:
            style = ""fill:#d9d9d9,stroke:#666666""  # Gray for other nodes
        
        # Add node with label (escaping special characters)
        clean_name = node_name.replace('""', ""'"")
        clean_type = node_type.replace('""', ""'"")
        label = f""{clean_name}<br>({clean_type})""
        mermaid_code.append(f""  {node_id}[\""{label}\""]"")
        mermaid_code.append(f""  style {node_id} {style}"")
    
    # Add connections between nodes
    for source_name, source_connections in connections.items():
        if source_name not in mermaid_ids:
            continue
        
        if isinstance(source_connections, dict) and 'main' in source_connections:
            main_connections = source_connections['main']
            
            for i, output_connections in enumerate(main_connections):
                if not isinstance(output_connections, list):
                    continue
                    
                for connection in output_connections:
                    if not isinstance(connection, dict) or 'node' not in connection:
                        continue
                        
                    target_name = connection['node']
                    if target_name not in mermaid_ids:
                        continue
                        
                    # Add arrow with output index if multiple outputs
                    label = f"" -->|{i}| "" if len(main_connections) > 1 else "" --> ""
                    mermaid_code.append(f""  {mermaid_ids[source_name]}{label}{mermaid_ids[target_name]}"")
    
    # Format the final mermaid diagram code
    return ""\n"".join(mermaid_code)",human
"def create_static_directory():
    """"""Create static directory if it doesn't exist.""""""
    static_dir = Path(""static"")
    static_dir.mkdir(exist_ok=True)
    return static_dir",human
"def run_server(host: str = ""127.0.0.1"", port: int = 8000, reload: bool = False):
    """"""Run the FastAPI server.""""""
    # Ensure static directory exists
    create_static_directory()
    
    # Debug: Check database connectivity
    try:
        stats = db.get_stats()
        print(f""✅ Database connected: {stats['total']} workflows found"")
        if stats['total'] == 0:
            print(""🔄 Database is empty. Indexing workflows..."")
            db.index_all_workflows()
            stats = db.get_stats()
    except Exception as e:
        print(f""❌ Database error: {e}"")
        print(""🔄 Attempting to create and index database..."")
        try:
            db.index_all_workflows()
            stats = db.get_stats()
            print(f""✅ Database created: {stats['total']} workflows indexed"")
        except Exception as e2:
            print(f""❌ Failed to create database: {e2}"")
            stats = {'total': 0}
    
    # Debug: Check static files
    static_path = Path(""static"")
    if static_path.exists():
        files = list(static_path.glob(""*""))
        print(f""✅ Static files found: {[f.name for f in files]}"")
    else:
        print(f""❌ Static directory not found at: {static_path.absolute()}"")
    
    print(f""🚀 Starting N8N Workflow Documentation API"")
    print(f""📊 Database contains {stats['total']} workflows"")
    print(f""🌐 Server will be available at: http://{host}:{port}"")
    print(f""📁 Static files at: http://{host}:{port}/static/"")
    
    uvicorn.run(
        ""api_server:app"",
        host=host,
        port=port,
        reload=reload,
        access_log=True,  # Enable access logs for debugging
        log_level=""info""
    )",human
"class Config:
        # Allow conversion of int to bool for active field
        validate_assignment = True",human
"def convert_active(cls, v):
        if isinstance(v, int):
            return bool(v)
        return v",human
